feature,coefficient,abs_coef
billet_saudi_exworks_std20,-0.18087939370211006,0.18087939370211006
billet_cis_fob_std20,0.1804239297919005,0.1804239297919005
rebar_turkey_fob_rsi,0.17003110587678114,0.17003110587678114
billet_gcc_cfr_momentum20,-0.15565799874126104,0.15565799874126104
billet_saudi_exworks_ma5,-0.15507941173243453,0.15507941173243453
iron_ore_62fe_std20,0.15432650036690437,0.15432650036690437
coke_lvliang_china_std20,0.15254353595151016,0.15254353595151016
coke_rizhao_china_lag20,0.14792743627771096,0.14792743627771096
rebar_turkey_fob_std20,-0.13867309965780403,0.13867309965780403
billet_cis_fob_lag1,0.13787675024375318,0.13787675024375318
rebar_uae_exworks_std20,-0.1313971267292741,0.1313971267292741
billet_cis_fob_lag10,-0.11642485122620666,0.11642485122620666
billet_gcc_cfr_momentum5,0.10607517527523491,0.10607517527523491
coke_rizhao_china_std20,0.10242016973246976,0.10242016973246976
rebar_uae_exworks_momentum5,0.09314390260024598,0.09314390260024598
coking_coal_australia_lag1,-0.09164315900129506,0.09164315900129506
coking_coal_australia_momentum20,-0.09127847644606599,0.09127847644606599
billet_cis_fob_ma5,0.08502549380934703,0.08502549380934703
coke_lvliang_china_momentum5,0.07242698403637957,0.07242698403637957
rebar_uae_exworks_lag10,-0.07023589764399082,0.07023589764399082
coke_rizhao_china_momentum20,-0.06678009822236063,0.06678009822236063
scrap_hms12_turkey_std20,0.04765412899129441,0.04765412899129441
coke_lvliang_china_momentum20,-0.04401053385784039,0.04401053385784039
billet_cis_fob_momentum5,0.03893248926508797,0.03893248926508797
rebar_uae_exworks_lag30,-0.027718733870485478,0.027718733870485478
coke_rizhao_china_lag5,0.022713119718832567,0.022713119718832567
billet_gcc_cfr_std20,0.019501964389919628,0.019501964389919628
coking_coal_australia_lag20,-0.018063428342077605,0.018063428342077605
coking_coal_australia_ma5,-0.015140625011336091,0.015140625011336091
coke_rizhao_china_momentum5,-0.014186687349144968,0.014186687349144968
rebar_uae_exworks_momentum20,0.004616660160247461,0.004616660160247461
rebar_uae_exworks_ma30,-0.0045933473186748125,0.0045933473186748125
coking_coal_australia_std20,-0.0019111259859047013,0.0019111259859047013
rebar_uae_exworks_ma20,-0.0,0.0
rebar_uae_exworks_ma5,-0.0,0.0
scrap_hms12_turkey_ma20,-0.0,0.0
billet_gcc_cfr_lag20,0.0,0.0
billet_gcc_cfr_lag5,-0.0,0.0
billet_gcc_cfr_lag1,0.0,0.0
billet_cis_fob_ma30,0.0,0.0
scrap_hms12_turkey_ma30,0.0,0.0
billet_cis_fob_ma20,0.0,0.0
billet_cis_fob_lag30,-0.0,0.0
billet_cis_fob_lag20,0.0,0.0
rebar_uae_exworks_lag20,-0.0,0.0
coke_rizhao_china_lag30,0.0,0.0
rebar_uae_exworks_lag5,-0.0,0.0
iron_ore_62fe_ma5,-0.0,0.0
coke_rizhao_china_lag10,0.0,0.0
billet_cis_fob_lag5,0.0,0.0
coking_coal_australia_ma20,-0.0,0.0
coking_coal_australia_ma30,-0.0,0.0
coking_coal_australia_momentum5,-0.0,0.0
iron_ore_62fe_lag1,-0.0,0.0
coke_lvliang_china_ma30,0.0,0.0
coke_lvliang_china_ma20,0.0,0.0
coke_lvliang_china_ma5,0.0,0.0
iron_ore_62fe_ma20,0.0,0.0
rebar_uae_exworks_lag1,0.0,0.0
iron_ore_62fe_ma30,0.0,0.0
coke_lvliang_china_lag20,0.0,0.0
coke_lvliang_china_lag10,0.0,0.0
coke_lvliang_china_lag5,0.0,0.0
coke_lvliang_china_lag1,0.0,0.0
billet_saudi_exworks_ma30,0.0,0.0
billet_saudi_exworks_ma20,0.0,0.0
billet_saudi_exworks_lag10,-0.0,0.0
billet_saudi_exworks_lag1,0.0,0.0
rebar_turkey_fob_lag30,0.0,0.0
